Category,Block Name,block_name,Description,Parameters,classification,xml_fields,simulator_status
Logic > Variables,replace 2D list item,pg_variables_set_item_of_2d_array,Updates a specific item in a 2D list.,row: The row index (starting at 1); column: The column index (starting at 1); variable: The 2D list variable; value: The new value assigned,variable,,ignored
Logic > Variables,set 2D list items,pg_variables_set_2d_array_to,Sets every item in the 2D list to the entered values.,variable: The 2D list variable being assigned values; values: The values to store row by row,variable,,ignored
Logic > Variables,length of 2D list,pg_variables_length_of_2d_array,Returns the number of rows or columns in a 2D list.,variable: The 2D list variable; rows/columns: Whether to return the number of rows or columns,other,,ignored
Logic > My Blocks,My Blocks,procedures_definition,Groups code into reusable sections designed to perform a specific task. Can be called multiple times within a program. Equivalent to functions in Python.,block name: A name you give to your My Block; parameters: Optional variables that accept input values (number or Boolean),procedure,,ignored
Logic > Comments,comment,aim_other_comment,Adds explanations or notes within the project. Does not affect how the project runs.,,other,,ignored
Switch,Switch Stack,pg_mixed_multiline_command,Used to execute Switch Python commands typed within the open space of the block. Shaped to attach above or below other action blocks.,None (Python code is typed directly in the block),switch,,ignored
Switch,Switch C Block,mixed_c,Used to loop the blocks within until the condition in the open space of the block is met. Common uses: while if for.,None (Python condition is typed directly in the block),switch,,ignored
Switch,Switch C Expandable,pg_mixed_c_expandable,Used to loop the blocks within a specific branch when the condition is met. Additional branches can be added by expanding the block. Common uses: while if for.,None (Python condition is typed directly in the block),switch,,ignored
Switch,Switch Boolean,pg_mixed_output_boolean,Returns a condition as either True or False defined with Switch Python functions. Shaped to fit inside hexagonal inputs. Operators: and or not > < = <= != >=.,None (Python expression is typed directly in the block),switch,,ignored
Switch,Switch Reporter,pg_mixed_output_number,Returns a numeric value defined with Switch Python functions. Shaped to fit inside circular inputs. Operators: + - / *.,None (Python expression is typed directly in the block),switch,,ignored
Switch,Switch Hat,mixed_definition,Runs the attached stack of blocks when the function is called. Syntax: def function_name(parameter):,None (Python function definition is typed directly in the block),switch,,ignored
Drivetrain (variant),stop driving,pg_drivetrain_stop,Older/alternate block name for stop driving observed in student XML exports.,,movement,,handled
Drivetrain (variant),set drive heading,pg_drivetrain_set_heading,Older/alternate block name for set drive heading observed in student XML exports.,heading: The heading value to assign in degrees,movement,ANGLE,handled
Logic > Control (variant),if,pg_control_if,Older/alternate block name for if observed in student XML exports.,,conditional,,handled
Logic > Control (variant),if / else,pg_control_if_else,Older/alternate block name for if/else observed in student XML exports.,,conditional,,handled
Logic > Control (Blockly),repeat,controls_repeat_ext,Standard Blockly block name for repeat — may appear in some VEX VR exports.,times: Number of times to repeat,loop,TIMES,handled
Logic > Control (Blockly),repeat while/until,controls_whileUntil,Standard Blockly block name for while/until loop — may appear in some VEX VR exports.,,loop,,handled
Logic > Control (Blockly),if,controls_if,Standard Blockly block name for if — may appear in some VEX VR exports.,,conditional,,handled
Logic > Control (Blockly),if,if_then,Alternate block name for if observed in some VEX VR exports.,,conditional,,handled
Logic > Control (Blockly),if / else,if_then_else,Alternate block name for if/else observed in some VEX VR exports.,,conditional,,handled
Logic > Control (Blockly),repeat,repeat,Simple block name for repeat observed in some VEX VR exports.,,loop,,handled
Logic > Control (Blockly),forever,forever,Simple block name for forever observed in some VEX VR exports.,,loop,,handled
Logic > Control (Blockly),repeat until,repeat_until,Simple block name for repeat_until observed in some VEX VR exports.,,loop,,handled
Logic > Control (Blockly),while,while,Simple block name for while loop observed in some VEX VR exports.,,loop,,handled
Sensing > Bumper (variant),bumper pressed,pg_sensing_bumper_pressed,Alternate block name for bumper sensor observed in student XML exports.,,sensor,,ignored
Sensing > Bumper (variant),bumper near,pg_sensing_bumper_near,Alternate block name for bumper sensor observed in student XML exports.,,sensor,,ignored
Sensing > Eye (variant),eye detected color,pg_sensing_optical_detected_color_is,Alternate block name for eye color detection observed in student XML exports.,,sensor,,handled
Sensing > Distance (variant),object distance,pg_sensing_distance_object_distance,Alternate block name for distance sensor observed in student XML exports.,,sensor,,ignored
Sensing (variant),generic eye,pg_sensing_eye,Generic/short block name for eye sensor observed in some exports.,,sensor,,handled
Sensing (variant),generic optical,pg_sensing_optical,Generic/short block name for optical sensor observed in some exports.,,sensor,,handled
Sensing (variant),generic distance,pg_sensing_distance,Generic/short block name for distance sensor observed in some exports.,,sensor,,ignored
Magnet (variant),magnet,pg_magnet_magnet,Alternate block name for magnet observed in student XML exports.,,magnet,ACTION,handled
Logic > Variables (Blockly),set variable,variables_set,Standard Blockly block name for set variable — may appear in some VEX VR exports.,,variable,,handled
Logic > Variables (Blockly),change variable,variables_change,Standard Blockly block name for change variable — may appear in some VEX VR exports.,,variable,,handled
Logic > Variables (Blockly),change variable (math),math_change,Standard Blockly block name for math change — may appear in some VEX VR exports.,,variable,,handled
